SA2_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
201011001,84,109,190,7,3,7,0,3,3,88,115,198,7853,8285,16146,244,240,489,8188,8648,16835
201011002,64,44,116,3,4,8,7,0,3,78,47,125,5369,6119,11490,261,251,515,5711,6420,12131
201011005,39,44,83,0,0,0,3,0,3,42,44,83,3409,3488,6901,147,131,278,3594,3664,7261
201011006,110,117,224,3,0,8,0,0,0,118,114,232,4785,5226,10013,206,206,418,5111,5553,10661
201011007,42,38,82,0,0,0,0,0,0,46,38,85,2085,1984,4071,41,33,71,2172,2055,4230
201011008,193,205,398,11,9,19,6,6,11,211,223,439,6840,7218,14056,420,422,847,7473,7863,15333
201011481,114,114,224,0,5,5,0,0,0,118,117,238,4218,4787,9006,244,204,450,4580,5111,9691
201011482,85,79,165,0,0,0,0,0,0,88,84,168,6767,7314,14080,246,254,498,7099,7648,14750
201011483,93,137,227,5,4,11,0,4,7,98,143,248,5490,5844,11336,328,309,637,5923,6299,12225
201011484,152,167,319,12,8,13,8,3,9,168,178,346,5581,6361,11936,378,428,802,6122,6965,13086
201021009,36,37,64,4,0,6,3,0,3,37,33,74,3041,3059,6100,210,178,389,3286,3273,6559
201021010,58,59,114,6,0,6,3,0,0,58,60,122,3703,3701,7401,275,285,563,4037,4045,8085
201021011,42,35,76,0,0,0,0,0,0,45,35,81,4504,4692,9195,332,351,680,4878,5077,9955
201021012,54,41,96,0,4,4,0,0,0,54,44,97,2986,2850,5842,228,203,432,3274,3102,6372
201031013,20,26,46,0,0,0,0,0,0,20,26,46,1640,1543,3184,159,147,306,1813,1717,3532
201031014,53,43,101,0,0,0,0,0,3,56,46,101,2208,1939,4146,195,196,391,2463,2185,4644
201031015,26,43,72,0,0,5,0,4,9,36,52,79,2331,2138,4470,186,154,339,2549,2348,4894
201031016,102,96,201,4,4,10,0,0,0,108,103,208,3594,3928,7521,209,227,439,3911,4254,8160
201031017,52,46,97,0,0,4,0,0,0,52,46,105,2529,2402,4928,271,221,491,2854,2676,5526
202011018,205,229,429,5,3,13,9,7,10,212,240,452,6566,6953,13514,486,485,963,7258,7669,14929
202011019,214,238,450,10,12,16,10,3,16,236,248,488,5670,6147,11809,305,346,658,6202,6745,12949
202011020,99,118,213,9,7,11,5,3,8,111,129,240,6227,6896,13122,294,334,627,6634,7355,13988
202011021,84,79,161,0,3,3,0,0,0,84,86,173,4158,4754,8913,178,185,361,4423,5022,9437
202011022,255,250,498,10,9,14,7,4,12,268,258,523,9096,10287,19384,561,568,1132,9923,11117,21043
202011023,32,31,67,4,0,9,0,0,0,40,35,78,2657,2657,5320,61,58,121,2756,2754,5518
202011024,50,43,91,0,5,4,0,0,0,55,48,103,5080,5189,10276,176,169,346,5313,5404,10719
202011025,171,187,354,8,0,9,0,7,10,179,193,371,6448,6991,13435,319,308,635,6948,7498,14446
202021026,70,52,127,3,0,3,0,0,0,70,52,125,3946,3856,7794,226,194,422,4244,4100,8344
202021027,93,54,142,6,0,4,0,4,4,92,55,153,5189,5329,10515,314,372,684,5598,5759,11352
202021028,54,62,118,0,0,6,0,0,0,57,62,123,4326,4201,8530,289,286,572,4667,4553,9225
202021029,39,42,77,0,0,0,0,0,3,41,39,85,2298,2136,4429,299,247,552,2638,2422,5062
202021030,45,44,91,3,0,3,0,0,3,52,46,96,4769,5055,9826,314,329,645,5136,5428,10562
202021031,29,12,46,0,0,0,0,6,6,29,14,45,3677,3895,7566,174,160,337,3882,4071,7949
202031032,51,57,110,0,0,3,0,0,0,55,60,111,2195,2157,4353,246,226,471,2493,2447,4934
202031033,63,83,148,5,7,14,0,5,5,69,95,162,3205,3132,6336,407,384,789,3676,3608,7289
203011034,51,46,95,3,9,5,0,0,0,53,48,104,3714,3662,7372,146,139,283,3914,3839,7754
203011035,49,50,95,0,0,0,3,6,8,49,54,103,3853,3687,7543,240,225,459,4140,3966,8111
203011036,27,22,45,3,3,7,0,0,5,27,26,58,3075,3091,6168,198,196,394,3301,3311,6614
203021037,104,90,194,0,7,9,5,4,10,106,97,204,6930,7352,14279,262,272,534,7307,7720,15017
203021039,76,80,154,0,0,3,0,0,0,74,83,159,6058,6606,12667,347,328,683,6485,7020,13504
203021040,105,99,200,8,6,10,5,5,8,121,107,221,9714,10610,20322,326,327,651,10153,11041,21200
203021042,63,46,111,0,0,0,5,0,3,65,52,114,11342,11875,23216,376,325,703,11785,12248,24034
203021043,254,149,404,7,3,12,6,6,7,265,161,424,10215,9482,19693,356,340,697,10830,9980,20817
